,,,,,,,,,,,,,,,,,,,t=0 (Prime),t=24 (NMP),t=36,t=48,,,,,,,,,,,,,,,,,,,,,,,,,,
P04083,ANXA1,"Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2, Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2",3,,,1,3,,,1,3,,,1,14,,,3,3.32E+05,,,1.63E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P05089,ARG1,"Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2, Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2, Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2",1,2,,1,1,2,,4,1,2,,1,3,8,,3,2.44E+05,2.65E+05,,2.28E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P13646,KRT13,"Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4, Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4, Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4",10,6,,11,16,13,,28,6,2,,7,24,12,,24,3.10E+06,2.18E+05,,5.96E+06,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14532,KRT32,"Keratin, type I cuticular Ha2 OS=Homo sapiens OX=9606 GN=KRT32 PE=1 SV=3",,,2,,,,3,,,,1,,,,4,,,,7.32E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35613,BSG,Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2,,,1,,,,1,,,,1,,,,2,,,,8.99E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,
P46100,ATRX,Transcriptional regulator ATRX OS=Homo sapiens OX=9606 GN=ATRX PE=1 SV=6,,,1,,,,1,,,,1,,,,1,,,,9.29E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35900,KRT20,"Keratin, type I cytoskeletal 20 OS=Homo sapiens OX=9606 GN=KRT20 PE=1 SV=1",,,3,,,,3,,,,1,,,,5,,,,1.31E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10599,TXN,Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3,,,1,,,,1,,,,1,,,,12,,,,1.62E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22528,SPRR1B,Cornifin-B OS=Homo sapiens OX=9606 GN=SPRR1B PE=1 SV=2,,,1,,,,1,,,,1,,,,9,,,,2.13E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08842,STS,Steryl-sulfatase OS=Homo sapiens OX=9606 GN=STS PE=1 SV=2,,,1,,,,1,,,,1,,,,3,,,,2.32E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7RTS7,KRT74,"Keratin, type II cytoskeletal 74 OS=Homo sapiens OX=9606 GN=KRT74 PE=1 SV=2",,,6,,,,18,,,,1,,,,8,,,,2.71E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02787,,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3,,,4,,,,6,,,,4,,,,8,,,,3.19E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96RN1,SLC26A8,Testis anion transporter 1 OS=Homo sapiens OX=9606 GN=SLC26A8 PE=1 SV=1,,,1,,,,1,,,,1,,,,3,,,,4.29E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7Z3Y8,KRT27,"Keratin, type I cytoskeletal 27 OS=Homo sapiens OX=9606 GN=KRT27 PE=1 SV=2",,,3,,,,16,,,,1,,,,6,,,,5.00E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96P44,COL21A1,Collagen alpha-1(XXI) chain OS=Homo sapiens OX=9606 GN=COL21A1 PE=2 SV=1,,,1,,,,1,,,,1,,,,2,,,,6.32E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NIE6,RRN3P2,Putative RRN3-like protein RRN3P2 OS=Homo sapiens OX=9606 GN=RRN3P2 PE=5 SV=3,,,1,,,,2,,,,1,,,,3,,,,1.22E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8IZY2,ABCA7,Phospholipid-transporting ATPase ABCA7 OS=Homo sapiens OX=9606 GN=ABCA7 PE=1 SV=3,,,1,,,,1,,,,1,,,,0,,,,1.47E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31151,S100A7,"Protein S100-A7 OS=Homo sapiens OX=9606 GN=S100A7 PE=1 SV=4, Protein S100-A7 OS=Homo sapiens OX=9606 GN=S100A7 PE=1 SV=4, Protein S100-A7 OS=Homo sapiens OX=9606 GN=S100A7 PE=1 SV=4",1,1,2,,1,1,2,,1,1,2,,12,12,23,,4.01E+05,,3.55E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75223,GGCT,"Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1, Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1",,1,1,,,1,1,,,1,1,,,7,7,,,5.95E+04,7.83E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13929,ENO3,"Beta-enolase OS=Homo sapiens OX=9606 GN=ENO3 PE=1 SV=5, Beta-enolase OS=Homo sapiens OX=9606 GN=ENO3 PE=1 SV=5, Beta-enolase OS=Homo sapiens OX=9606 GN=ENO3 PE=1 SV=5",5,5,3,,27,17,4,,1,1,1,,19,19,12,,,3.13E+05,1.32E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q86YZ3,HRNR,"Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2, Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2",,1,1,,,1,1,,,1,1,,,0,1,,,7.30E+04,1.83E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08554,DSC1,"Desmocollin-1 OS=Homo sapiens OX=9606 GN=DSC1 PE=1 SV=2, Desmocollin-1 OS=Homo sapiens OX=9606 GN=DSC1 PE=1 SV=2",,1,1,,,1,2,,,1,1,,,1,1,,,1.99E+05,2.77E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61626,LYZ,"Lysozyme C OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1, Lysozyme C OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1",,1,1,,,1,1,,,1,1,,,8,8,,,1.58E+05,3.01E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96P63,SERPINB12,"Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1, Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1",,1,1,,,1,1,,,1,1,,,4,4,,,1.97E+05,3.28E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12273,PIP,"Prolactin-inducible protein OS=Homo sapiens OX=9606 GN=PIP PE=1 SV=1, Prolactin-inducible protein OS=Homo sapiens OX=9606 GN=PIP PE=1 SV=1, Prolactin-inducible protein OS=Homo sapiens OX=9606 GN=PIP PE=1 SV=1",1,3,2,,1,3,2,,1,3,2,,10,26,18,,,5.61E+05,3.66E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N1N4,KRT78,"Keratin, type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78 PE=1 SV=2, Keratin, type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78 PE=1 SV=2",,3,8,,,4,10,,,2,6,,,5,15,,,3.51E+05,1.23E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13835,PKP1,"Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2, Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2, Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2",1,1,2,,1,1,2,,1,1,2,,2,2,3,,5.50E+04,7.14E+04,2.37E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15517,,"Corneodesmosin OS=Homo sapiens OX=9606 GN=CDSN PE=1 SV=3, Corneodesmosin OS=Homo sapiens OX=9606 GN=CDSN PE=1 SV=3, Corneodesmosin OS=Homo sapiens OX=9606 GN=CDSN PE=1 SV=3",1,1,1,,4,4,2,,1,1,1,,3,3,3,,5.95E+04,1.27E+05,1.97E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5T749,KPRP,"Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1, Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1, Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1",1,1,1,,2,1,1,,1,1,1,,2,2,2,,1.66E+05,2.88E+05,3.85E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01469,FABP5,"Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3, Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3, Fatty acid-binding protein 5 OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3",1,1,1,,2,1,1,,1,1,1,,10,10,10,,2.44E+05,6.52E+04,7.92E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07355,ANXA2,"Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2, Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2, Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2",3,2,2,,3,2,2,,3,2,2,,12,7,7,,4.78E+05,3.49E+05,3.82E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62266,RPS23,"40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3, 40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3, 40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3",1,1,1,,4,3,2,,1,1,1,,19,19,19,,6.97E+05,3.19E+05,1.57E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43175,PHGDH,"D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4, D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4, D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4, D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4",2,1,1,1,11,3,2,2,2,1,1,1,7,3,3,3,7.64E+05,4.03E+05,1.15E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62979,RPS27A,"Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2, Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2, Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2",2,2,2,,4,4,3,,2,2,2,,16,16,16,,1.05E+06,1.70E+06,9.17E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06732,CKM,"Creatine kinase M-type OS=Homo sapiens OX=9606 GN=CKM PE=1 SV=2, Creatine kinase M-type OS=Homo sapiens OX=9606 GN=CKM PE=1 SV=2, Creatine kinase M-type OS=Homo sapiens OX=9606 GN=CKM PE=1 SV=2",2,1,1,,5,2,2,,2,1,1,,8,4,4,,1.27E+06,3.90E+05,1.76E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16615,ATP2A2,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1, Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1, Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1",5,1,1,,8,2,1,,5,1,1,,11,2,2,,1.40E+06,3.14E+05,1.45E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NZT1,CALML5,"Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2, Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2, Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2",2,2,2,,4,2,2,,2,2,2,,21,21,21,,1.58E+06,9.17E+05,1.17E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1, ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1, ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",3,2,1,,15,6,1,,3,2,1,,9,5,3,,1.75E+06,3.18E+05,8.94E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11142,HSPA8,"Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1, Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1, Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1, Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1",5,11,2,1,16,17,2,1,4,8,2,1,15,25,7,4,2.80E+06,2.88E+06,1.69E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61247,RPS3A,"40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2, 40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2, 40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2",1,1,1,,10,6,3,,1,1,1,,6,6,6,,3.65E+06,1.15E+06,3.68E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10809,HSPD1,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2, 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2, 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",9,3,2,,33,10,4,,9,3,2,,32,11,8,,4.20E+06,6.68E+05,1.04E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17540,CKMT2,"Creatine kinase S-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT2 PE=1 SV=2, Creatine kinase S-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT2 PE=1 SV=2, Creatine kinase S-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT2 PE=1 SV=2, Creatine kinase S-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT2 PE=1 SV=2",1,1,1,1,3,4,7,2,1,1,1,1,6,6,6,6,6.71E+06,2.03E+06,7.92E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06733,ENO1,"Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2, Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2, Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2",8,7,3,,75,31,8,,4,3,1,,34,27,12,,9.73E+06,1.04E+06,1.79E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P68363,TUBA1B,"Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1, Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1, Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1",9,7,2,,51,15,3,,3,2,2,,38,26,9,,1.23E+07,2.91E+06,3.33E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05109,S100A8,"Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1, Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1, Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1",3,1,2,,5,2,4,,3,1,2,,31,12,24,,1.49E+07,6.15E+05,1.61E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13151,HNRNPA0,"Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens OX=9606 GN=HNRNPA0 PE=1 SV=1, Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens OX=9606 GN=HNRNPA0 PE=1 SV=1",2,1,,,2,1,,,2,1,,,12,5,,,,3.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35580,MYH10,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,,1,,,,1,,,,1,,,,1,,,,4.55E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BYE4,SPRR2G,Small proline-rich protein 2G OS=Homo sapiens OX=9606 GN=SPRR2G PE=3 SV=1,,1,,,,1,,,,1,,,,12,,,,6.05E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14566,MCM6,DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1,,1,,,,1,,,,1,,,,1,,,,6.42E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49327,FASN,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,,1,,,,1,,,,1,,,,1,,,,6.50E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11387,TOP1,DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2,,2,,,,2,,,,2,,,,4,,,,6.90E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92945,KHSRP,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,,2,,,,2,,,,2,,,,4,,,,8.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15084,PDIA6,"Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1, Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1",1,1,,,1,1,,,1,1,,,3,3,,,,8.89E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02462,COL4A1,Collagen alpha-1(IV) chain OS=Homo sapiens OX=9606 GN=COL4A1 PE=1 SV=4,,1,,,,1,,,,1,,,,1,,,,9.03E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62263,RPS14,40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3,,1,,,,1,,,,1,,,,9,,,,9.70E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02878,RPL6,60S ribosomal protein L6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3,,1,,,,1,,,,1,,,,3,,,,9.78E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NR30,DDX21,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,,1,,,,1,,,,1,,,,2,,,,9.82E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02511,CRYAB,"Alpha-crystallin B chain OS=Homo sapiens OX=9606 GN=CRYAB PE=1 SV=2, Alpha-crystallin B chain OS=Homo sapiens OX=9606 GN=CRYAB PE=1 SV=2, Alpha-crystallin B chain OS=Homo sapiens OX=9606 GN=CRYAB PE=1 SV=2",1,1,1,,3,2,1,,1,1,1,,15,15,15,,,9.95E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6ZUB1,SPATA31E1,Spermatogenesis-associated protein 31E1 OS=Homo sapiens OX=9606 GN=SPATA31E1 PE=2 SV=2,,1,,,,1,,,,1,,,,1,,,,1.07E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q09028,RBBP4,Histone-binding protein RBBP4 OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=3,,1,,,,1,,,,1,,,,3,,,,1.08E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62913,RPL11,60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2,,1,,,,1,,,,1,,,,8,,,,1.11E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09874,PARP1,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,,3,,,,3,,,,3,,,,4,,,,1.15E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5T750,KPLCE,"Skin-specific protein 32 OS=Homo sapiens OX=9606 GN=XP32 PE=1 SV=1, Skin-specific protein 32 OS=Homo sapiens OX=9606 GN=XP32 PE=1 SV=1",1,2,,,1,3,,,1,2,,,5,9,,,,1.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NVM9,INTS13,Integrator complex subunit 13 OS=Homo sapiens OX=9606 GN=INTS13 PE=1 SV=2,,1,,,,1,,,,1,,,,2,,,,1.25E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15323,KRT31,"Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3",,3,,,,6,,,,2,,,,8,,,,1.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P84098,RPL19,60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1,,1,,,,1,,,,1,,,,5,,,,1.35E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1,,1,,,,1,,,,1,,,,2,,,,1.47E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2,,1,,,,1,,,,1,,,,6,,,,1.56E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17096,HMGA1,High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3,,1,,,,1,,,,1,,,,7,,,,1.63E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62851,RPS25,40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1,,1,,,,2,,,,1,,,,8,,,,1.63E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0DME0,SETSIP,Protein SETSIP OS=Homo sapiens OX=9606 GN=SETSIP PE=1 SV=1,,1,,,,1,,,,1,,,,3,,,,1.73E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
