Accession,Descriptions,Genes,#.Peptides.QEX3_1226028,#.Peptides.QEX3_1226029,#.Peptides.QEX3_1226030,#.Peptides.QEX3_1226031,#.Peptides.QEX3_1226032,#.Peptides.QEX3_1226033,#.Peptides.QEX3_1226034,#.PSMs.QEX3_1226028,#.PSMs.QEX3_1226029,#.PSMs.QEX3_1226030,#.PSMs.QEX3_1226031,#.PSMs.QEX3_1226032,#.PSMs.QEX3_1226033,#.PSMs.QEX3_1226034,#.Unique.Peptides.QEX3_1226028,#.Unique.Peptides.QEX3_1226029,#.Unique.Peptides.QEX3_1226030,#.Unique.Peptides.QEX3_1226031,#.Unique.Peptides.QEX3_1226032,#.Unique.Peptides.QEX3_1226033,#.Unique.Peptides.QEX3_1226034,%.Coverage.QEX3_1226028,%.Coverage.QEX3_1226029,%.Coverage.QEX3_1226030,%.Coverage.QEX3_1226031,%.Coverage.QEX3_1226032,%.Coverage.QEX3_1226033,%.Coverage.QEX3_1226034,t=0; WTYAP; Abundance.QEX3_1226028,t=24; WTYAP; Abundance.QEX3_1226029,t=36; WTYAP; Abundance.QEX3_1226030,t=48; WTYAP; Abundance.QEX3_1226031,t=0; Y2TAZ; Abundance.QEX3_1226032,t=36; Y2TAZ; Abundance.QEX3_1226033,t=48; Y2TAZ; Abundance.QEX3_1226034,,,,,,
P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6, Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6, Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6, Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6, Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6, Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6, Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6, Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",KRT1,44,35,35,30,39,19,19,170,78,79,53,112,29,25,37,31,30,26,32,17,15,52,51,51,45,52,29,35,56291861.92,33546425.04,68210752.33,48480975.41,43764508.76,10159199.78,8646418.09,,,,,,
Q92614,"Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3, Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3, Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3, Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3, Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3",MYO18A,18,96,94,89,8,,,26,183,153,150,8,,,18,96,94,89,8,,,10,51,52,48,4,,,556035.22,34624721.01,43297993.63,106174179.81,117650.68,,,,,,,,
P78527,"DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3, DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3, DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3, DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3, DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3",PRKDC,12,116,140,120,3,,,12,137,186,169,3,,,12,116,140,120,3,,,3,30,37,31,1,,,182454.95,14295462.48,39828713.17,60913147.40,26417.00,,,,,,,,
Q07157,"Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3, Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3, Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3, Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3, Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3",TJP1,10,64,67,70,1,,,11,126,141,160,1,,,9,63,65,68,1,,,7,44,44,46,1,,,247599.31,25993597.78,62928569.81,170318220.36,12911.72,,,,,,,,
P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2, Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2, Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2, Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2, Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2, Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2, Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2, Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",KRT2,49,38,34,24,30,6,8,190,71,53,32,54,7,9,36,29,26,17,21,3,4,74,67,60,38,49,10,15,66938071.30,28370858.44,19148433.02,12631385.19,6003801.47,229404.95,1726228.64,,,,,,
P52272,"Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3, Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3, Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3, Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3, Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3, Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3",HNRNPM,15,47,49,51,9,2,,16,113,132,143,9,2,,15,47,49,51,9,2,,25,61,61,64,16,3,,491496.07,37410767.28,78387059.68,184716174.09,180191.21,48398.41,,,,,,,
Q16643,"Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4, Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4, Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4, Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4, Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4, Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4, Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4, Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4",DBN1,11,43,42,44,13,1,1,21,144,105,122,16,1,1,11,43,42,44,13,1,1,21,54,57,53,29,4,4,1353606.50,146301423.39,104956746.69,362886400.52,930347.65,,,,,,,,
P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6, Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6, Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6, Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6, Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6, Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6, Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6, Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",KRT10,37,35,36,22,33,14,12,152,65,64,28,63,18,15,34,31,32,16,29,12,11,64,65,63,39,52,25,26,52268810.46,23314220.25,39892460.73,26414568.44,7831093.45,3406828.74,2648154.57,,,,,,
O75369,"Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2, Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2, Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2, Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2, Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2",FLNB,6,79,83,78,2,,,6,107,111,116,3,,,4,70,73,69,1,,,2,39,41,38,1,,,11019.80,9163283.94,17943893.62,38717146.25,,,,,,,,,
Q00610,"Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5, Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5, Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5, Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5, Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5",CLTC,13,64,67,65,1,,,13,98,112,98,1,,,13,64,67,65,1,,,9,46,51,45,1,,,291787.87,18395947.29,30933133.72,52821187.21,,,,,,,,,
P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3, Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3, Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3, Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3, Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3, Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3, Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3, Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",KRT9,32,28,21,20,30,17,9,105,45,40,27,69,21,11,31,27,20,19,29,16,9,59,51,43,41,53,38,21,12620280.90,10774364.76,8943755.84,12647256.29,16217261.80,6478067.68,1461442.96,,,,,,
P55196,"Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3, Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3, Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3, Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3",AFDN,2,60,71,77,,,,2,83,102,115,,,,2,60,71,77,,,,2,39,45,49,,,,,12730466.43,29571865.99,80514492.45,,,,,,,,,
P62805,"Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2, Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2, Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2, Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2, Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2, Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2, Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2, Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2",H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,6,9,9,10,7,3,1,74,54,68,69,29,3,1,6,9,9,10,7,3,1,51,53,53,54,52,31,12,3028074.81,35343440.98,172496552.96,542407685.01,1631060.57,187669.66,,,,,,,
Q7Z406,"Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2, Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2, Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2, Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2",MYH14,13,50,72,53,,,,18,79,115,81,,,,3,37,59,42,,,,6,28,42,29,,,,78878.37,2205527.96,10230134.20,11112195.36,,,,,,,,,
P23246,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2, Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2, Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2, Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2, Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2, Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",SFPQ,4,31,32,33,5,1,,7,82,99,93,5,1,,4,30,31,32,5,1,,7,44,43,47,8,2,,188331.61,29920632.19,63180549.02,156142268.17,159859.74,31796.12,,,,,,,
Q00839,"Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6, Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6, Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6, Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6, Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6, Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6",HNRNPU,13,36,37,42,11,1,,18,77,79,99,13,1,,13,36,37,42,11,1,,21,36,37,38,16,2,,891088.03,55918817.96,78250207.53,181720661.60,573351.53,10951.38,,,,,,,
P68133,"Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1",ACTA1,,,20,,,,,,,282,,,,,,,1,,,,,,,44,,,,,,,,,,,,,,,,,
P07437,"Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2, Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2, Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2, Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2, Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2",TUBB,10,24,22,24,9,,,19,78,85,85,14,,,4,4,3,4,2,,,32,67,60,67,25,,,347231.47,11041655.94,4120389.40,7618773.63,76204.00,,,,,,,,
P0CG39,"POTE ankyrin domain family member J OS=Homo sapiens OX=9606 GN=POTEJ PE=3 SV=1, POTE ankyrin domain family member J OS=Homo sapiens OX=9606 GN=POTEJ PE=3 SV=1, POTE ankyrin domain family member J OS=Homo sapiens OX=9606 GN=POTEJ PE=3 SV=1, POTE ankyrin domain family member J OS=Homo sapiens OX=9606 GN=POTEJ PE=3 SV=1",POTEJ,,6,7,7,5,,,,92,78,92,13,,,,2,3,2,1,,,,8,10,9,6,,,,4539634.63,3730968.71,9416703.39,,,,,,,,,
Q9UDY2,"Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2, Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2, Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2, Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2",TJP2,6,50,53,58,,,,7,84,87,95,,,,5,49,51,56,,,,5,46,46,48,,,,181039.76,20437117.26,45566456.46,107653576.14,,,,,,,,,
Q13885,"Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1, Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1, Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1, Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1, Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1",TUBB2A,7,23,22,24,9,,,13,74,80,79,13,,,1,4,1,1,2,,,23,60,60,67,25,,,11304.45,579471.12,18625809.06,44382010.16,325200.68,,,,,,,,
Q15233,"Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4, Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4, Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4, Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4, Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4",NONO,5,24,25,29,7,,,6,69,81,90,9,,,5,22,23,27,7,,,10,46,47,48,18,,,300491.66,27101778.46,54946417.66,190174983.70,169550.26,,,,,,,,
O15020,"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3, Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3, Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3",SPTBN2,,65,52,63,,,,,93,69,82,,,,,49,37,49,,,,,33,24,31,,,,,5382805.09,4405480.50,14381567.50,,,,,,,,,
P17844,"Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1, Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1, Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1, Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1, Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1, Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1",DDX5,13,36,39,37,9,1,,19,67,72,74,11,1,,7,27,30,28,4,1,,22,53,53,53,16,1,,771075.16,18860725.66,32915601.12,84211473.93,34620.28,8545.04,,,,,,,
