Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,Abundance 1245818,Abundance 1245819,Abundance 1245820,Abundance 1245821,Abundance 1245822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62805,Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2,51,6,38,6,11.4,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,4400223.453,4615608.203,5966906.125,5331738.172,683152.8477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04908,Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=H2AC4 PE=1 SV=2,32,4,36,4,14.1,H2AC4; H2AC8,4422914.813,5058910.471,5710728.168,5087705.93,801721.5938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q08188,Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens OX=9606 GN=TGM3 PE=1 SV=4,26,15,35,15,76.6,TGM3,931320.0859,730210.3105,2463254.348,7764315.508,228086.7705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z589,BRCA2-interacting transcriptional repressor EMSY OS=Homo sapiens OX=9606 GN=EMSY PE=1 SV=2,9,10,34,10,141.4,EMSY,3209259.852,722946.375,1546436.285,728042.7061,174277.6846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,28,16,34,12,70.9,HSPA8,4066376.883,1029757.938,1129175.837,783653.2744,298838.2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60814,Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3,46,6,34,6,13.9,H2BC12,5765884.754,4882237.018,9259232.101,10444379.05,741903.3955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UKM9,RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1,25,7,32,7,32.4,RALY,4688795.539,4027601.133,1605552.25,3862150.488,202856.9844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P22735,Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens OX=9606 GN=TGM1 PE=1 SV=4,19,15,30,15,89.7,TGM1,49225.57813,352550.7217,1404886.274,5597931.938,107414.3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62701,"Small ribosomal subunit protein eS4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",33,10,30,10,29.6,RPS4X,5768016.84,4410056.895,1737634.029,3214324.988,845287.5352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,26,9,29,9,50.1,EEF1A1,2944188.867,2615477.09,3744044.125,1939547.676,610220.1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07355,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,47,14,29,14,38.6,ANXA2,217749.9707,463445.9219,1202942.195,6873335.648,85567.25977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15029,116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1,13,10,27,10,109.4,EFTUD2,2227744.023,682472.0586,1384635.16,479069.7559,15856.15723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15393,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,13,13,25,13,135.5,SF3B3,1855039.75,572095.6172,862150.6924,458968.2598,35902.83203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96P63,Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1,20,7,25,7,46.2,SERPINB12,548138.5723,640904.125,1990949.879,4243203.719,212099.6152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07910,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4,18,5,24,5,33.7,HNRNPC,682908.1523,536177.1133,848949.2539,353185.625,42506.44141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05089,Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2,32,9,22,9,34.7,ARG1,236661.207,213754.6738,1440870.58,3541566.367,72137.48145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04040,Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3,25,13,22,13,59.7,CAT,399720.0176,405020.4727,1299016.898,4731037.305,53556.68848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31944,Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2,32,8,21,8,27.7,CASP14,74503.74023,63127.62109,749992.0059,4111939.859,29665.01758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,10,7,21,7,90.5,HNRNPU,1780834.156,1282028.691,1588958.418,1035500.594,44410.61328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q08554,Desmocollin-1 OS=Homo sapiens OX=9606 GN=DSC1 PE=1 SV=2,12,8,21,8,99.9,DSC1,193191.1582,587554.2109,1184323.293,6530451.773,339533.8496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62277,Small ribosomal subunit protein uS15 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,40,6,20,6,17.2,RPS13,1959430.289,1258857.758,936755.3906,684358.7051,594030.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P23246,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",10,7,20,6,76.1,SFPQ,1242947.719,1201388.82,3002409.797,1027548.609,523376.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17844,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,13,7,20,3,69.1,DDX5,415896.6641,343167.6328,309085.5898,279823.6172,23381.73438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11387,DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2,12,9,20,9,90.7,TOP1,1947668.152,1435623.93,755623.7539,624101.2363,439055.4009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0DMV9,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,25,10,19,7,70,HSPA1B,352426.3652,163917.8691,93083.06836,62253.26855,34357.48828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92922,SWI/SNF complex subunit SMARCC1 OS=Homo sapiens OX=9606 GN=SMARCC1 PE=1 SV=3,12,13,17,13,122.8,SMARCC1,2578596.25,37212.36035,366655.4229,87257.6875,103386.3936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62861,Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=2,8,2,17,2,14.4,FAU,5442721.016,5396685.996,3375170.543,1571329.84,2953383.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13867,Bleomycin hydrolase OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1,20,7,17,7,52.5,BLMH,131606.0781,295617.1411,534132.8584,4190304.488,78630.22949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62249,Small ribosomal subunit protein uS9 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,30,5,17,5,16.4,RPS16,1021015.203,1153906.109,415996.8047,748003.0938,1224907.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61978,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,16,6,16,6,50.9,HNRNPK,458903.3125,354547.4648,684579.3281,312468.4492,29842.4043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H2P0,Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1,12,10,15,10,123.5,ADNP,2110415.164,76317.98242,463379.168,122089.3184,41354.65869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51659,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3,11,5,15,5,79.6,HSD17B4,415152.5,99095.72656,405402.1719,308574.0391,10827.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P25311,Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2,26,6,15,6,34.2,AZGP1,246966.2461,140258.2568,255556.4648,1763142.391,20313.2373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6P2Q9,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,5,10,15,10,273.4,PRPF8,1063506.406,272361.4805,479632.1992,253813.8398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15233,Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4,12,5,15,4,54.2,NONO,534785.7227,471756.9844,876069.0078,448953.5313,10709.01953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86YZ3,Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2,8,6,14,6,282.2,HRNR,481114.2695,239845.7358,1981633.543,1040165.252,179891.1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75533,Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,4,5,14,5,145.7,SF3B1,941274.6973,345456.2109,538598.8789,325288.7813,44748.43359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62266,Small ribosomal subunit protein uS12 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3,29,4,14,4,15.8,RPS23,1339533.734,623378.6211,278167.8906,491694.8594,1727256.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5T750,Protein KPLCE OS=Homo sapiens OX=9606 GN=KPLCE PE=1 SV=1,16,4,14,4,26.2,KPLCE,327332.0938,191239.7813,1175598.15,11943153.48,252295.3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61513,Large ribosomal subunit protein eL43 OS=Homo sapiens OX=9606 GN=RPL37A PE=1 SV=2,32,3,13,3,10.3,RPL37A,2033042.219,178870.3071,537736.7383,296214.3906,98331.85938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96PK6,RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2,8,5,13,5,69.4,RBM14,271231.4688,441691.4004,347603.375,226704.5313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H6K5,Proline-rich protein 36 OS=Homo sapiens OX=9606 GN=PRR36 PE=1 SV=2,4,5,13,5,132.7,PRR36,536367.875,690218.918,589600.8672,597734.2715,62555.64722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60174,Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=4,44,10,13,10,26.7,TPI1,,17379.31348,254660.4307,3476990.445,16501.62354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62851,Small ribosomal subunit protein eS25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1,21,3,13,3,13.7,RPS25,539004.1719,638204.0938,244167.6914,390375.0547,320408.5078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,11,7,13,7,77.5,HNRNPM,702055.1758,426755.082,847140.7969,491126.1016,3755.702148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,3,5,13,5,244.4,SNRNP200,801099.0703,323112.6934,425279.8789,319984,8879.099609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q69YN4,Protein virilizer homolog OS=Homo sapiens OX=9606 GN=VIRMA PE=1 SV=2,1,2,13,2,201.9,VIRMA,1445272.234,280861.7383,736138.3906,310102.7109,36970.53125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15517,Corneodesmosin OS=Homo sapiens OX=9606 GN=CDSN PE=1 SV=3,7,3,13,3,51.5,,77106.60547,118470.2051,334917.9453,1448829.188,36758.52734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P28347,Transcriptional enhancer factor TEF-1 OS=Homo sapiens OX=9606 GN=TEAD1 PE=1 SV=2,17,8,12,2,47.9,TEAD1,2023839.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,15,7,12,6,53.6,VIM,80893.8125,407036.9258,26184.2168,634180.4531,16018.50879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62750,Large ribosomal subunit protein uL23 OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1,27,4,12,4,17.7,RPL23A,1126236.594,975574.5,391622.1797,503711.3906,56866.75586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51532,Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2,6,10,11,10,184.5,SMARCA4,1773235.945,32266.02637,364139.4336,49010.66943,27234.10986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35637,RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,9,3,11,3,53.4,FUS,687187.9531,377996.2813,345053.6016,359016.9453,19981.39844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P16402,Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2,19,4,11,3,22.3,H1-3,476883.0234,533199.0469,487780.4375,374511.7344,206692.5562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96EV2,RNA-binding protein 33 OS=Homo sapiens OX=9606 GN=RBM33 PE=1 SV=3,4,3,11,3,129.9,RBM33,212321.4688,142983.5742,115072.0156,85940.45313,18761.30762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99594,Transcriptional enhancer factor TEF-5 OS=Homo sapiens OX=9606 GN=TEAD3 PE=1 SV=2,18,9,11,3,48.6,TEAD3,4595795.867,28710.0752,5924.776367,4612.966797,4341.584473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07339,Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1,14,6,11,6,44.5,CTSD,785661.2305,315763.2852,1052720.172,628558.5703,199098.1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P38159,"RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3",8,4,10,4,42.3,RBMX,556486.1094,379514.4844,453003.2422,680505.4844,28937.71875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P16401,Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3,9,2,10,1,22.6,H1-5,130210.8516,166637.0938,109860.625,94947.30469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15561,Transcriptional enhancer factor TEF-3 OS=Homo sapiens OX=9606 GN=TEAD4 PE=1 SV=3,13,7,10,1,48.3,TEAD4,773544.3164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62899,Large ribosomal subunit protein eL31 OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1,25,3,10,3,14.5,RPL31,860195.1406,797058.332,386124.8203,484723.3906,256297.1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,19,6,10,6,50.1,TUBA1A,116145.8184,601447.1963,425171.4492,156095.0977,91555.87061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH5A1 PE=1 SV=2",9,5,10,5,57.2,ALDH5A1,,160032.6875,723057.375,573499.0508,2180217.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6ZU65,Ubinuclein-2 OS=Homo sapiens OX=9606 GN=UBN2 PE=1 SV=2,4,4,10,4,146,UBN2,514256.8203,394394.6641,347233.9297,120384.3047,90451.31836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15562,Transcriptional enhancer factor TEF-4 OS=Homo sapiens OX=9606 GN=TEAD2 PE=1 SV=2,17,7,10,2,49.2,TEAD2,807115.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96QA5,Gasdermin-A OS=Homo sapiens OX=9606 GN=GSDMA PE=1 SV=4,9,6,10,6,49.3,GSDMA,161433.457,214327.4932,878661.9609,4502730.344,78006.48633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P26373,Large ribosomal subunit protein eL13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4,11,2,9,2,24.2,RPL13,554861.9219,587635.4492,188949.7539,411194.3457,422917.3262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P42766,Large ribosomal subunit protein uL29 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2,21,3,9,3,14.5,RPL35,1005148.172,830048.4688,1057086.469,506451.4844,247947.0742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62979,Ubiquitin-ribosomal protein eS31 fusion protein OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2,22,3,9,3,18,RPS27A,311777.0684,391129.3809,866927.0781,1303495.352,89267.17188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11021,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,10,5,9,3,72.3,HSPA5,254943.25,107333.7207,273325.3066,224153.3125,104291.1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P01040,Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1,46,4,9,4,11,CSTA,189079.0469,108804.5977,799978.0859,3303623.828,56466.51953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P42357,Histidine ammonia-lyase OS=Homo sapiens OX=9606 GN=HAL PE=1 SV=1,11,6,9,6,72.7,HAL,124134.9219,178907.627,370160.0605,860239.5156,32069.08398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6UWP8,Suprabasin OS=Homo sapiens OX=9606 GN=SBSN PE=1 SV=2,25,6,9,6,60.5,SBSN,,24599.20117,283261.0439,2086804.469,61291.39551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P20930,Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3,2,3,9,3,434.9,FLG,77663.67188,53163.23438,357625.5137,780697.8828,46175.16382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0CG12,Decreased expression in renal and prostate cancer protein OS=Homo sapiens OX=9606 GN=DERPC PE=1 SV=1,9,4,9,4,51.4,DERPC,381585.0391,384177.0723,385975.7422,176666.5156,40498.30273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WWK9,Cytoskeleton-associated protein 2 OS=Homo sapiens OX=9606 GN=CKAP2 PE=1 SV=1,5,3,9,3,76.9,CKAP2,1887353.094,329508.9375,939427.7773,362786.5117,160824.3604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13509,Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2,8,3,8,1,50.4,TUBB3,36852.28125,491394.8516,495457.2109,97971.10156,69112.10547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05109,Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1,31,3,8,3,10.8,S100A8,274476.2734,153008.0078,476592.2891,76181.71875,284131.8516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15149,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,1,5,8,3,531.5,PLEC,57191.33789,166751.5518,254682.123,1489762.563,18580.79395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BXS6,Nucleolar and spindle-associated protein 1 OS=Homo sapiens OX=9606 GN=NUSAP1 PE=1 SV=1,8,3,8,3,49.4,NUSAP1,853272.3906,86824.93262,412904.8828,47038.72656,25043.94531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,11,4,8,4,37.4,HNRNPA2B1,137146.7949,466741.9727,455134.1797,151345.543,53011.96484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
