Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=24 WT YAP; Abundance 1242701,t=24 Y2 YAP; Abundance 1242702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P27816,Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,24,23,51,23,120.9,MAP4,7206872.96,3317079.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06899,Histone H2B type 1-J OS=Homo sapiens OX=9606 GN=H2BC11 PE=1 SV=3,40,5,36,5,13.9,H2BC11,5248948.70,4630799.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BY77,Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2,33,12,23,12,46.1,POLDIP3,3268035.14,3061190.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13647,"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",30,20,41,10,62.3,KRT5,2366672.95,2009898.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02533,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",37,15,32,7,51.5,KRT14,2239064.49,1658605.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P28347,Transcriptional enhancer factor TEF-1 OS=Homo sapiens OX=9606 GN=TEAD1 PE=1 SV=2,7,4,6,1,47.9,TEAD1,1934874.89,19578.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UNZ5,Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens OX=9606 GN=C19orf53 PE=1 SV=1,8,2,3,2,10.6,C19orf53,1689100.03,1335368.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62861,Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=2,8,2,7,2,14.4,FAU,1541560.11,2796670.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51553,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3G PE=1 SV=1",3,1,2,1,42.8,IDH3G,1188661.72,889263.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51610,Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,4,6,7,6,208.6,HCFC1,1086587.55,170731.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62249,Small ribosomal subunit protein uS9 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,5,1,1,1,16.4,RPS16,1033343.63,1025575.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62701,"Small ribosomal subunit protein eS4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",21,6,9,6,29.6,RPS4X,971773.55,2903768.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86TJ2,Transcriptional adapter 2-beta OS=Homo sapiens OX=9606 GN=TADA2B PE=1 SV=2,2,1,2,1,48.4,TADA2B,829697.13,644061.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02538,"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",24,16,39,5,60,KRT6A,823638.74,424955.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13646,"Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4",15,8,16,3,49.6,KRT13,684448.73,441958.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H6K5,Proline-rich protein 36 OS=Homo sapiens OX=9606 GN=PRR36 PE=1 SV=2,3,4,4,4,132.7,PRR36,628242.75,204047.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BR76,Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,2,1,1,1,54.2,CORO1B,539585.13,508780.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",7,2,2,2,41.7,ACTB,415150.21,139131.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62750,Large ribosomal subunit protein uL23 OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1,39,9,12,9,17.7,RPL23A,380524.38,2706934.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86YZ3,Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2,6,3,6,3,282.2,HRNR,351210.90,596691.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P42766,Large ribosomal subunit protein uL29 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2,15,2,4,2,14.5,RPL35,338932.39,1915968.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P16402,Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2,24,8,14,6,22.3,H1-3,338812.79,10808369.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62899,Large ribosomal subunit protein eL31 OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1,30,4,7,4,14.5,RPL31,317864.42,2824746.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P15924,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,1,4,5,4,331.6,DSP,289597.42,291007.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,5,3,3,3,70.9,HSPA8,266069.34,72890.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61513,Large ribosomal subunit protein eL43 OS=Homo sapiens OX=9606 GN=RPL37A PE=1 SV=2,10,1,1,1,10.3,RPL37A,265305.16,68884.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62277,Small ribosomal subunit protein uS15 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,32,5,8,5,17.2,RPS13,232791.62,1791699.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05109,Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1,24,2,3,2,10.8,S100A8,225821.44,315092.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q05639,Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1,4,2,2,2,50.4,EEF1A2,193384.92,43183.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NHJ6,Leukocyte immunoglobulin-like receptor subfamily B member 4 OS=Homo sapiens OX=9606 GN=LILRB4 PE=1 SV=3,2,1,1,1,49.3,LILRB4,181091.19,278295.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,7,2,4,2,36,GAPDH,176992.62,157053.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0CG12,Decreased expression in renal and prostate cancer protein OS=Homo sapiens OX=9606 GN=DERPC PE=1 SV=1,4,2,2,2,51.4,DERPC,171507.78,12674.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,E9PRG8,Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2,28,3,5,3,14.2,C11orf98,168185.32,658851.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02768,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,2,1,3,1,69.3,ALB,158839.05,209805.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62979,Ubiquitin-ribosomal protein eS31 fusion protein OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2,6,1,2,1,18,RPS27A,156123.27,182385.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P81605,Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2,20,2,2,2,11.3,DCD,150900.82,284632.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9BQG0,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,1,1,1,1,148.8,MYBBP1A,140009.59,71361.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86Y46,"Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1",6,4,8,1,58.9,KRT73,131360.26,162474.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62851,Small ribosomal subunit protein eS25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1,6,1,1,1,13.7,RPS25,130762.52,139460.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31942,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,9,3,3,3,36.9,HNRNPH3,130704.40,46092.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09651,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5,6,2,3,2,38.7,HNRNPA1,130435.65,139445.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NTI5,Sister chromatid cohesion protein PDS5 homolog B OS=Homo sapiens OX=9606 GN=PDS5B PE=1 SV=1,2,1,1,1,164.6,PDS5B,121344.67,67880.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62280,Small ribosomal subunit protein uS17 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3,5,1,1,1,18.4,RPS11,119485.68,20823.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92922,SWI/SNF complex subunit SMARCC1 OS=Homo sapiens OX=9606 GN=SMARCC1 PE=1 SV=3,1,1,1,1,122.8,SMARCC1,115076.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q08554,Desmocollin-1 OS=Homo sapiens OX=9606 GN=DSC1 PE=1 SV=2,1,1,1,1,99.9,DSC1,110480.48,105376.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P19013,"Keratin, type II cytoskeletal 4 OS=Homo sapiens OX=9606 GN=KRT4 PE=1 SV=5",11,6,26,2,56.1,KRT4,103957.49,115502.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08779,"Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",17,9,21,1,51.2,KRT16,102147.72,50792.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NZT1,Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2,5,1,2,1,15.9,CALML5,99711.55,71133.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0C0S5,Histone H2A.Z OS=Homo sapiens OX=9606 GN=H2AZ1 PE=1 SV=2,20,3,31,1,13.5,H2AZ1,96294.23,33420.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5T750,Protein KPLCE OS=Homo sapiens OX=9606 GN=KPLCE PE=1 SV=1,3,1,2,1,26.2,KPLCE,93788.30,194537.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P01876,Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=3,2,1,1,1,42.8,IGHA1,93534.83,55785.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0DI83,"Ras-related protein Rab-34, isoform NARR OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1",4,1,1,1,21.1,RAB34,90238.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92841,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,2,1,1,1,80.2,DDX17,87411.27,10329.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06702,Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1,11,1,2,1,13.2,S100A9,86713.87,237994.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15562,Transcriptional enhancer factor TEF-4 OS=Homo sapiens OX=9606 GN=TEAD2 PE=1 SV=2,10,4,6,1,49.2,TEAD2,81226.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q02413,Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2,5,3,4,3,113.7,DSG1,80686.13,107096.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N1N4,"Keratin, type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78 PE=1 SV=2",4,2,3,1,56.8,KRT78,76890.23,73534.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62318,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1,8,1,2,1,13.9,SNRPD3,76883.08,66535.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,3,2,2,2,90.5,HNRNPU,75524.65,22530.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P56703,Proto-oncogene Wnt-3 OS=Homo sapiens OX=9606 GN=WNT3 PE=1 SV=2,5,1,2,1,39.6,WNT3,73840.13,58283.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q06830,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,6,1,2,1,22.1,PRDX1,73478.22,45666.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P83731,Large ribosomal subunit protein eL24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1,8,1,1,1,17.8,RPL24,70687.73,298926.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51532,Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2,1,2,2,2,184.5,SMARCA4,70361.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05089,Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2,3,1,1,1,34.7,ARG1,66096.03,67169.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13410,Butyrophilin subfamily 1 member A1 OS=Homo sapiens OX=9606 GN=BTN1A1 PE=1 SV=3,2,1,2,1,58.9,BTN1A1,61891.59,149897.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5D862,Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1,0,1,1,1,247.9,FLG2,55390.54,92664.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31943,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4,4,1,1,1,49.2,HNRNPH1,52450.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11387,DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2,1,1,2,1,90.7,TOP1,46695.09,30333.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P12273,Prolactin-inducible protein OS=Homo sapiens OX=9606 GN=PIP PE=1 SV=1,8,1,2,1,16.6,PIP,45716.39,55698.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BQ48,Large ribosomal subunit protein bL34m OS=Homo sapiens OX=9606 GN=MRPL34 PE=1 SV=1,13,1,1,1,10.2,MRPL34,40394.10,21897.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61626,Lysozyme C OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1,8,1,1,1,16.5,LYZ,32016.35,16137.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61353,Large ribosomal subunit protein eL27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2,6,1,1,1,15.8,RPL27,29370.28,16922.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IWZ3,Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKHD1 PE=1 SV=1,0,1,1,1,269.3,ANKHD1,29053.12,52748.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O15230,Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8,0,1,2,1,399.5,LAMA5,29012.82,76895.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07339,Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1,2,1,1,1,44.5,CTSD,28591.10,25641.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6ZVX7,F-box only protein 50 OS=Homo sapiens OX=9606 GN=NCCRP1 PE=1 SV=1,4,1,1,1,30.8,NCCRP1,27946.89,25510.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P39019,Small ribosomal subunit protein eS19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,7,1,1,1,16.1,RPS19,27849.83,53016.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IWF9,Coiled-coil domain-containing protein 83 OS=Homo sapiens OX=9606 GN=CCDC83 PE=1 SV=2,7,1,1,1,48.8,CCDC83,27410.32,16826.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P16401,Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3,18,5,8,3,22.6,H1-5,26512.60,1004444.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q02878,Large ribosomal subunit protein eL6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3,6,2,2,2,32.7,RPL6,24991.03,281802.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z794,"Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3",7,5,14,1,61.9,KRT77,24579.67,38223.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92522,Histone H1.10 OS=Homo sapiens OX=9606 GN=H1-10 PE=1 SV=1,17,3,4,3,22.5,H1-10,22260.92,1635745.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,1,1,1,1,87.3,DDX21,15730.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q969G3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens OX=9606 GN=SMARCE1 PE=1 SV=2,3,1,1,1,46.6,SMARCE1,11979.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q92544,Transmembrane 9 superfamily member 4 OS=Homo sapiens OX=9606 GN=TM9SF4 PE=1 SV=2,1,1,1,1,74.5,TM9SF4,11520.82,14218.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15050,Ribosome biogenesis regulatory protein homolog OS=Homo sapiens OX=9606 GN=RRS1 PE=1 SV=2,2,1,1,1,41.2,RRS1,4804.85,49111.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P2E9,Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5,1,2,2,2,152.4,RRBP1,,90588.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61254,Large ribosomal subunit protein uL24 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1,6,1,1,1,17.2,RPL26,,82462.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P47914,Large ribosomal subunit protein eL29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2,9,1,1,1,17.7,RPL29,,70892.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14980,Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2,1,1,1,1,238.1,NUMA1,,56249.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0DOX7,Immunoglobulin kappa light chain OS=Homo sapiens OX=9606 PE=1 SV=1,8,1,1,1,23.4,,,24031.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46087,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,2,1,1,1,89.2,NOP2,,18253.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P0L2,Serine/threonine-protein kinase MARK1 OS=Homo sapiens OX=9606 GN=MARK1 PE=1 SV=2,2,1,1,1,88.9,MARK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
